TAZ,distr,AMshare,PMshare,OPshare
836,2,0.20,0.17,0.22
837,2,0.20,0.17,0.22
838,2,0.20,0.17,0.22
839,2,0.20,0.17,0.22
840,2,0.20,0.17,0.22
841,2,0.20,0.17,0.22
842,2,0.20,0.17,0.22
843,2,0.20,0.17,0.22
844,2,0.20,0.17,0.22
845,2,0.20,0.17,0.22
846,2,0.20,0.17,0.22
847,2,0.20,0.17,0.22
848,2,0.20,0.17,0.22
849,2,0.20,0.17,0.22
850,2,0.20,0.17,0.22
851,3,0.19,0.20,0.25
852,3,0.19,0.20,0.25
853,3,0.19,0.20,0.25
854,3,0.19,0.20,0.25
855,3,0.19,0.20,0.25
856,2,0.20,0.17,0.22
857,2,0.20,0.17,0.22
858,2,0.20,0.17,0.22
859,2,0.20,0.17,0.22
860,2,0.20,0.17,0.22
861,2,0.20,0.17,0.22
862,2,0.20,0.17,0.22
863,2,0.20,0.17,0.22
864,2,0.20,0.17,0.22
865,,,,
866,,,,
867,,,,
868,,,,
869,,,,
870,,,,
871,,,,
872,,,,
873,11,0.03,0.02,0.04
874,11,0.03,0.02,0.04
875,10,0.07,0.07,0.09
876,10,0.07,0.07,0.09
877,11,0.03,0.02,0.04
878,11,0.03,0.02,0.04
