,O,D,flow
1065,33427,8030,1
1066,14055,28887,1
1067,40409,2944,1
1068,5136,12704,1
1069,28598,11886,1
1070,22389,2110,1
1071,1673,33928,1
1072,3037,16602,1
1073,31127,21977,1
1074,17578,16321,1
1075,1218,12646,1
1076,40112,18196,1
1077,41979,11925,1
1078,30247,7077,1
1079,15270,7077,1
1080,20548,699,1
1081,10774,40678,1
1082,14054,34045,1
1083,2316,33882,1
1084,32971,12933,1
1085,4269,28812,1
1086,28297,10002,1
1087,32601,35977,1
1088,30383,6369,1
1089,6157,8887,1
1090,26112,32414,1
1091,28816,9189,1
1092,36380,12581,1
1093,14173,35898,1
1094,5956,24524,1
1095,4692,23242,1
1096,12599,7353,1
1097,6747,32006,1
1098,10539,18001,1
1099,21805,26593,1
1100,5263,11135,1
1101,17286,930,1
1102,33612,17041,1
1103,3087,8903,1
1104,25695,10472,1
1105,33001,7437,1
1106,33001,37270,1
1107,29463,491,1
1108,9443,22805,1
1109,3263,2452,1
1110,23105,24376,1
1111,3263,9421,1
1112,23105,24356,1
1113,35535,21469,1
1114,17622,26544,1
1115,11438,14277,1
1116,34396,6166,1
1117,7134,7561,1
1118,2220,37589,1
1119,22391,39485,1
1120,2562,14199,1
1121,5354,7387,1
1122,28986,9435,1
1123,17266,10628,1
1124,8765,17190,1
1125,7077,30148,1
1126,11174,7351,1
1127,23224,20098,1
1128,32097,6725,1
1129,11923,23377,1
1130,25559,8825,1
1131,6815,26120,1
1132,8419,19782,1
1133,20451,16220,1
1134,32089,33279,1
1135,19913,11197,1
1136,17001,22128,1
1137,26829,30147,1
1138,16975,24603,1
1139,769,16405,1
1140,13196,9528,1
1141,773,24232,1
1142,11886,23236,1
1143,29397,23112,1
1144,24230,15028,1
1145,18835,23341,1
1146,11884,33411,1
1147,18840,11975,1
1148,11884,9000,1
1149,11899,23341,1
1150,24230,23112,1
1151,17266,8826,1
1152,5861,8471,1
1153,5862,40128,1
1154,41411,17507,1
1155,28879,32396,1
1156,22674,35330,1
1157,41978,1321,1
1158,35354,4280,1
1159,5356,36175,1
1160,13358,10505,1
1161,6381,10504,1
1162,31497,24148,1
1163,13658,7073,1
1164,931,32938,1
1165,14154,30115,1
1166,34481,30115,1
1167,11220,19443,1
1168,3120,18063,1
1169,30780,27151,1
1170,2414,19837,1
1171,2419,33494,1
1172,7469,36804,1
1173,4709,36989,1
1174,26063,27585,1
1175,9529,6254,1
1176,2420,22392,1
1177,12751,34643,1
1178,8715,5354,1
1179,8715,5167,1
1180,8989,5165,1
1181,8710,6380,1
1182,6814,24989,1
1183,4339,23716,1
1184,20077,26363,1
1185,5764,5118,1
1186,39323,23018,1
