,O,D,flow
712,1243846541,2143369211,2
713,65329405,4904270575,1
714,65297206,1616379036,1
715,239601901,65303704,1
716,65337003,4177227590,1
717,4759501909,1578907724,1
718,4019097616,4757824778,1
719,65318894,65312204,1
720,65348387,65317711,1
721,1719012858,65317713,1
722,5270986779,4757825804,1
723,725332222,1266422710,1
724,2972640086,65363171,1
725,65374838,4179595254,1
726,612029182,65286254,1
727,1395145674,65354018,1
728,65301512,65303525,1
729,65293751,1792795186,1
730,4759500510,2713578465,1
731,1563088478,4763953355,1
732,1840709557,65351692,1
733,65355961,65293755,1
734,1723738842,65306991,1
735,1723563952,65329980,1
736,3997983904,3719571433,1
737,1501114903,65301709,1
738,65351755,1723739368,1
739,4941620855,65329978,1
740,65303713,65333959,1
741,345508142,1582797238,1
742,65317547,4763953740,1
743,2254572687,4763953378,1
744,5287074578,4021550348,1
745,65319933,2304626312,1
746,4757430174,315715074,1
747,5019919820,766927408,1
748,65305817,65317043,1
749,4518026427,65317711,1
750,65316524,4759501883,1
751,310224930,4179481008,1
752,612765589,764826075,1
753,65317713,65296329,1
754,65286500,4509833290,1
755,65317339,4509833250,1
756,4659622295,5271590653,1
757,65281631,1728581670,1
758,4719395989,4402491098,1
759,4045405504,3860557680,1
760,65298432,4022947859,1
761,65314146,2800130435,1
762,65334473,1728581611,1
763,5020852180,65293462,1
764,4406691919,303789580,1
765,916328138,3997967143,1
766,315363291,4659622295,1
767,65319895,65288928,1
768,65333715,3717633546,1
769,4019009278,1707875162,1
770,65315481,310080156,1
771,1582797075,2450003450,1
772,300761093,65350736,1
773,258968245,5318541602,1
774,258968243,65329405,1
775,65317709,311436777,1
776,3999302056,667479432,1
777,65325032,65295291,1
778,4495540994,65327408,1
779,65317337,65291006,1
780,2783977017,3532718882,1
781,1723739089,65346043,1
782,65291006,4177105009,1
783,4475542320,1602893648,1
784,1243846550,65374253,1
785,1420265533,2315555370,1
786,2800740942,763026589,1
787,3527092101,65318282,1
788,4251903311,65363163,1
789,911547144,4941618201,1
790,3532719201,65299991,1
791,65332772,1723738815,1
792,1243846517,916328138,1
793,65369287,65299804,1
794,65322300,5184288004,1
795,764458928,65293657,1
796,4766859107,3936964031,1
797,65287216,3999658235,1
798,3685132831,65325032,1
799,65317784,65372256,1
800,5022471091,265506641,1
801,621547507,767807636,1
802,2613221273,5318541595,1
803,65299113,65303531,1
804,5311522061,1206753813,1
805,4757430174,4911322451,1
806,4757430173,65306931,1
807,65364214,65334516,1
808,1723563836,2315555414,1
809,2304626330,4071044675,1
810,5184250100,3999025542,1
811,764840587,4911322421,1
812,764839233,3999481300,1
813,65319956,65312464,1
814,65326744,65372918,1
815,5020835260,65350261,1
816,5283654677,65310657,1
817,65339095,733637444,1
818,258967891,5318541602,1
819,258768355,4659622295,1
820,4503467082,65337397,1
821,65365832,2143369209,1
822,65365832,65299078,1
823,65306087,3925261675,1
824,65343969,65308721,1
825,4019009279,65340183,1
826,65284974,3642949313,1
827,65280896,65305423,1
828,65293760,65325208,1
829,4009068079,258757445,1
830,65342807,4018840060,1
831,4009044897,4179595250,1
832,4179595252,65297832,1
833,65318978,4509833263,1
834,3719569466,4014397114,1
835,65307463,4731768941,1
836,65352325,5257236558,1
837,4019577200,65318282,1
838,3645273106,65318282,1
839,316735272,65363163,1
840,65322054,65363163,1
841,65283518,65308289,1
842,4941618193,65365166,1
843,4087625919,3665229725,1
844,5318541606,3860557680,1
845,5318541606,300456473,1
846,65315824,5277057885,1
847,65324013,612028664,1
848,65292759,4016379798,1
849,581258842,4783987017,1
850,4061806110,65317032,1
851,4061806111,65317032,1
852,3978835967,263989185,1
853,4763953274,65319913,1
854,65290795,65295369,1
855,4757430300,1148372885,1
856,2381817271,3931497671,1
857,65345337,1723739185,1
858,4000795700,4184291695,1
859,4518026430,4608620463,1
860,65319532,4730235267,1
861,4188186126,314080351,1
862,4730235260,65317058,1
863,5283668863,65317703,1
864,4757825806,65330567,1
865,65319921,65305626,1
866,3532718879,4012499532,1
867,3532718881,65328978,1
868,1728581635,3978797420,1
869,4734121545,4025603870,1
870,293626294,3931471415,1
871,3978836033,4757430265,1
872,65295399,4757430287,1
873,65313135,65317043,1
874,65303550,4402491100,1
875,865946071,5291023718,1
876,4061762654,4757825750,1
877,5257236557,4757825808,1
878,1578907676,65281950,1
879,1308305528,65332058,1
880,65365814,764845259,1
881,4904270572,4015833330,1
882,612028664,4071049873,1
883,65306804,65317035,1
884,65306807,65317035,1
885,3999658235,65317032,1
886,65331880,1067999124,1
887,4014184951,4800142349,1
888,4023103630,1723563908,1
889,2063966770,2287779362,1
890,768244967,2700230857,1
891,590622034,2700230857,1
892,263988289,5035348354,1
893,65317032,1723738926,1
894,65303506,65360919,1
895,4002286829,65351661,1
896,65303546,65327158,1
897,65360482,65320179,1
898,65303533,65320179,1
899,65310455,65323052,1
900,4493103508,4503467072,1
901,4177104998,65295289,1
902,4998861437,65295293,1
903,4178230428,65295289,1
904,65333814,4000209976,1
905,65307202,1656766020,1
906,65283935,1260360872,1
907,65307359,65319908,1
908,4406692049,4509833295,1
909,65328764,344024296,1
910,4150448118,4509833333,1
911,4406691920,295184727,1
912,763662673,1723739089,1
913,763662553,1723739368,1
914,4406691905,65329978,1
915,5184288010,65293474,1
916,4061806120,300761093,1
917,5318057714,65325009,1
918,1616379042,4548596615,1
919,4757430330,4025717686,1
920,1196875324,5318468075,1
921,302742695,65302739,1
922,65303529,65328351,1
923,65343958,65295403,1
924,65334469,65325227,1
925,603369654,4179595256,1
926,4019009270,65299069,1
927,3931507134,65297007,1
928,4416004206,65292112,1
929,65359090,4019576755,1
930,4179595256,353151015,1
931,65319587,65290222,1
932,4150430557,65287668,1
933,4044911371,1723739335,1
934,4009044922,2304626311,1
935,1712552544,2700230857,1
936,65319567,65337920,1
937,1266422675,268235501,1
938,65363176,65300028,1
939,612769753,4730235257,1
940,300455597,65314156,1
941,54891208,552853367,1
942,4503467069,65313433,1
943,65292045,4941620666,1
944,4904270578,65306797,1
945,65327381,5020800957,1
946,65336489,263522862,1
947,65301655,1260360927,1
948,65320739,65295284,1
949,3406604959,890277727,1
950,5020557542,1260360843,1
951,4402491112,4789089208,1
952,3532718879,65312628,1
953,5318541602,1901927747,1
954,65295336,890045127,1
955,65327169,5000827326,1
956,1564279875,65303495,1
957,65281950,5000827725,1
958,1563088443,4165593360,1
959,298082888,300761099,1
960,1243846492,4911554681,1
961,1243846492,2236649162,1
962,298082888,300514847,1
963,4759501843,65355456,1
964,65336947,65374838,1
965,5277057887,733610308,1
966,258967873,65283647,1
967,4177227599,4757825821,1
968,581047109,3118789725,1
969,65361743,65300052,1
970,3742029241,2236649162,1
971,65303901,5000826410,1
972,3999501315,3365216243,1
973,3999566849,300763323,1
974,265506639,1727355295,1
975,65310806,4757824793,1
976,3532718879,316735419,1
977,3532718873,612027356,1
978,65360273,5318541603,1
979,330657250,65368253,1
980,65363166,65325208,1
981,65326536,65325208,1
982,5025735414,65313194,1
983,65343969,612030762,1
984,300514847,65319911,1
985,65362987,65319911,1
986,65325213,5020557543,1
987,65306840,65319913,1
988,5000826415,4624714829,1
989,65299104,2068535620,1
990,65306087,65302739,1
991,1578907759,65301525,1
992,65287672,65327384,1
993,65308500,3645272796,1
994,3527031619,346527550,1
995,65299283,581258842,1
996,65299290,869969301,1
997,258910933,65303546,1
998,728918268,65302739,1
999,2713578449,65308621,1
1000,65281374,4757825830,1
1001,65310181,65322450,1
1002,65330575,1792795204,1
1003,65308418,4705093672,1
1004,4784302655,65288850,1
1005,65319911,258768355,1
1006,5020557543,4548594910,1
1007,4022924679,2819579974,1
1008,5283686224,4177198629,1
1009,65318046,65303721,1
1010,65312213,3532718883,1
1011,1918054302,1419794017,1
1012,1511339722,3719569458,1
1013,65317709,5130946474,1
1014,65299085,293820542,1
1015,4625576707,1792772919,1
1016,65363163,65317032,1
1017,311189885,4019096999,1
1018,65319925,1728581630,1
1019,4019123388,65290215,1
1020,342543655,65371963,1
1021,65334133,65293460,1
1022,2143369209,2659469433,1
1023,65299113,65330725,1
1024,295186045,5000827725,1
1025,3978835939,2819579973,1
1026,65371307,65336474,1
1027,258911596,65306956,1
1028,4086356578,4177158847,1
1029,65334025,65303546,1
1030,65301508,4019576750,1
