,O,D,flow
995,39234,64497,1
996,514,38232,1
997,20773,28600,1
998,24092,32574,1
999,52820,52540,1
1000,76913,4002,1
1001,56682,60238,1
1002,63306,5134,1
1003,30264,34134,1
1004,54669,79764,1
1005,80782,22601,1
1006,78760,16721,1
1007,80383,7264,1
1008,39009,65063,1
1009,16521,75363,1
1010,13499,78978,1
1011,16845,29469,1
1012,3912,37531,1
1013,52278,54903,1
1014,19717,1315,1
1015,64622,25434,1
1016,857,44360,1
1017,57289,36108,1
1018,17340,72477,1
1019,26908,30608,1
1020,882,30883,1
1021,79498,30883,1
1022,77726,38627,1
1023,19806,52170,1
1024,36996,62453,1
1025,82185,36371,1
1026,17123,50488,1
1027,68480,12083,1
1028,54715,31447,1
1029,5470,19977,1
1030,50505,42343,1
1031,66933,3012,1
1032,31471,25194,1
1033,60356,27078,1
1034,35340,26693,1
1035,43359,32892,1
1036,38315,48075,1
1037,50704,65276,1
1038,82329,61702,1
1039,26014,64993,1
1040,2545,62549,1
1041,47604,30145,1
1042,35360,21036,1
1043,10161,11207,1
1044,56459,69214,1
1045,8790,59708,1
1046,7482,29633,1
1047,26564,18741,1
1048,22383,32087,1
1049,49515,37913,1
1050,49515,35569,1
1051,43099,1825,1
1052,9925,13960,1
1053,82516,3912,1
1054,59019,71770,1
1055,50692,73919,1
1056,62973,48109,1
1057,5975,52546,1
1058,48501,75853,1
1059,69586,53771,1
1060,5470,45223,1
1061,19749,49920,1
1062,32622,61103,1
1063,32622,48394,1
1064,9060,73073,1
1065,36110,49498,1
1066,78961,13251,1
1067,36461,79063,1
1068,14091,62349,1
1069,27373,37935,1
1070,80714,71295,1
1071,27132,34757,1
1072,10393,80125,1
1073,77402,44908,1
1074,47456,21828,1
1075,81694,48170,1
1076,74640,6376,1
1077,25163,69057,1
1078,51789,75166,1
1079,70610,21857,1
1080,69103,15172,1
1081,21698,79106,1
1082,25770,68714,1
1083,3176,64838,1
1084,75396,29670,1
1085,79180,77834,1
1086,57333,72352,1
1087,16567,3319,1
1088,6415,32463,1
1089,34932,45456,1
1090,15298,18923,1
1091,80542,82212,1
1092,27479,43858,1
1093,78414,43858,1
1094,3691,26275,1
1095,28953,42555,1
1096,75853,83002,1
1097,22703,78684,1
1098,38233,15083,1
1099,74714,77021,1
1100,57855,69478,1
1101,75885,40669,1
1102,1055,78814,1
1103,5549,73955,1
1104,43256,28277,1
1105,72774,68161,1
1106,51789,42389,1
1107,64102,68256,1
1108,64102,69332,1
1109,42837,74655,1
1110,52933,43601,1
1111,21121,79901,1
1112,12176,79901,1
1113,2448,38470,1
1114,60841,21060,1
1115,55352,21060,1
1116,26433,21060,1
1117,14266,27723,1
1118,28601,62289,1
1119,28601,17966,1
1120,29816,17966,1
1121,28601,27723,1
1122,59068,55366,1
1123,42808,43398,1
1124,12120,20571,1
1125,15677,35440,1
1126,23416,81512,1
1127,5260,63518,1
1128,53939,47884,1
1129,36496,63958,1
1130,28749,40056,1
1131,14184,38644,1
1132,1055,39630,1
1133,62723,55869,1
1134,83225,34377,1
1135,64202,54532,1
1136,78426,67255,1
1137,67490,35174,1
1138,28103,12889,1
1139,66560,51422,1
1140,42406,70266,1
1141,9110,72009,1
1142,20025,4303,1
1143,20653,30798,1
1144,83012,34928,1
1145,58065,64875,1
1146,17984,20748,1
1147,64823,42182,1
1148,851,26605,1
1149,29824,64128,1
1150,42999,42125,1
1151,74850,55766,1
1152,81376,33152,1
1153,27386,44351,1
1154,22662,17579,1
1155,43256,54094,1
1156,21490,7212,2
1157,6888,74747,1
1158,48783,78944,1
1159,24700,49188,1
1160,2174,6874,1
1161,29456,29816,1
1162,1325,357,1
1163,80131,24494,1
1164,71984,80591,1
1165,58664,357,1
1166,36974,70458,1
1167,74295,36109,1
1168,31980,66839,1
1169,33393,77234,1
1170,20030,22601,1
1171,19544,40982,1
1172,79063,49188,1
1173,19605,78707,1
1174,42745,33759,1
