"year","group_mode","group_purpose","odistrict","downtown","soma","n_beach_and_chinatown","western_market","mission_and_potrero","noe_and_glen_and_bernal","marina_and_n_heights","richmond","bayshore","outer_mission","hill_districts","sunset","south_bay","east_bay","north_bay"
"2050","walk/bike","mandatory","South Bay",249.0,137.0,54.0,139.0,333.0,170.0,87.0,61.0,611.0,906.0,376.0,842.0,318142.0,735.0,5.0
"2050","total","discretionary","Bayshore",16016.0,10881.0,4537.0,6884.0,30863.0,13922.0,3272.0,1642.0,95207.0,17483.0,6327.0,7911.0,31359.0,6681.0,825.0
"2050","walk/bike","discretionary","Mission/Potrero",8350.0,14665.0,1520.0,7876.0,52508.0,5499.0,1175.0,196.0,2603.0,568.0,602.0,513.0,168.0,0.0,12.0
"2015","uber/lyft","discretionary","Mission/Potrero",2745.0,1887.0,1364.0,1331.0,2639.0,584.0,571.0,94.0,311.0,149.0,154.0,207.0,92.0,34.0,0.0
"2050","uber/lyft","total","Outer Mission",485.0,516.0,201.0,224.0,476.0,251.0,114.0,50.0,292.0,1080.0,508.0,615.0,500.0,19.0,1.0
"2050","drive","total","South Bay",20640.0,17503.0,9091.0,16606.0,39074.0,16414.0,11141.0,13160.0,50374.0,47804.0,22624.0,66543.0,9989059.0,434626.0,9664.0
"2015","drive","mandatory","SoMa",4941.0,3607.0,2146.0,3038.0,4515.0,1411.0,2351.0,1480.0,1819.0,1285.0,1015.0,2197.0,6962.0,9747.0,2394.0
"2050","drive","discretionary","Mission/Potrero",16171.0,20109.0,6798.0,18029.0,65146.0,15763.0,8206.0,4571.0,26558.0,11382.0,6691.0,10816.0,21888.0,11236.0,2219.0
"2015","walk/bike","discretionary","Mission/Potrero",5660.0,5543.0,1065.0,6503.0,31714.0,5340.0,969.0,146.0,1663.0,409.0,551.0,386.0,142.0,0.0,8.0
"2015","walk/bike","discretionary","Marina/N. Heights",6936.0,935.0,7461.0,9283.0,921.0,231.0,27762.0,2794.0,58.0,46.0,161.0,527.0,21.0,0.0,25.0
"2050","uber/lyft","total","Noe/Glen/Bernal",964.0,1171.0,441.0,614.0,1061.0,596.0,249.0,58.0,307.0,235.0,278.0,249.0,154.0,42.0,5.0
"2050","drive","discretionary","N. Beach/Chinatown",10500.0,5519.0,11563.0,4969.0,6888.0,1509.0,8501.0,2879.0,3265.0,1436.0,973.0,2387.0,4618.0,5920.0,2602.0
"2050","transit","total","Bayshore",14676.0,4587.0,2386.0,1469.0,4712.0,1293.0,881.0,347.0,6958.0,1473.0,1459.0,1828.0,2790.0,2430.0,93.0
"2050","transit","total","Richmond",10863.0,2172.0,2096.0,2674.0,1506.0,346.0,2600.0,4140.0,362.0,376.0,797.0,2912.0,931.0,1701.0,255.0
"2050","uber/lyft","total","Western Market",8328.0,5750.0,3688.0,5893.0,3269.0,613.0,3251.0,836.0,328.0,236.0,436.0,985.0,347.0,215.0,61.0
"2050","walk/bike","discretionary","SoMa",26414.0,36839.0,4007.0,6130.0,14524.0,618.0,1592.0,197.0,394.0,111.0,148.0,214.0,71.0,225.0,18.0
"2050","transit","total","Sunset",15187.0,4476.0,2740.0,4536.0,3864.0,1375.0,2432.0,2838.0,1743.0,2569.0,3659.0,14649.0,4671.0,3250.0,360.0
"2050","total","discretionary","Downtown",173649.0,73485.0,60930.0,39515.0,44632.0,9354.0,28573.0,10882.0,16225.0,8169.0,5384.0,12755.0,16149.0,27643.0,4854.0
